id,loc,x,y,date,n_detections
A69-1602-9718,SB-1,-119.025,33.488,2019-07-30,7
A69-1602-9718,SB-3,-119.04055,33.487,2019-06-08,7
A69-1602-9718,SB-3,-119.04055,33.487,2019-06-09,7
A69-1602-9718,SB-3,-119.04055,33.487,2019-07-22,7
A69-1602-9718,SB-3,-119.04055,33.487,2019-08-19,7
A69-1602-9718,SB-3,-119.04055,33.487,2019-09-03,7
A69-1602-9718,SB-3,-119.04055,33.487,2019-09-05,7
A69-1602-9718,SB-3,-119.04055,33.487,2019-09-11,7
A69-1602-9718,SB-6,-119.0457167,33.468,2019-07-30,7
A69-1602-9718,SB-6,-119.0457167,33.468,2019-09-14,7
A69-1602-9718,SB-7,-119.0418333,33.464,2018-09-15,7
A69-1602-9718,SB-7,-119.0418333,33.464,2019-05-19,7
A69-1602-9718,SB-8,-119.0348,33.461,2018-08-30,7
A69-1602-9718,SB-8,-119.0348,33.461,2018-09-02,7
A69-1602-9718,SB-9,-119.0260167,33.471,2018-08-30,7
A69-1602-9718,SB-9,-119.0260167,33.471,2018-10-13,7
A69-1602-9718,SB-9,-119.0260167,33.471,2018-10-25,7
A69-1602-9718,SB-9,-119.0260167,33.471,2019-08-16,7
A69-1602-9718,SB-9,-119.0260167,33.471,2019-08-31,7
A69-1602-9718,SB-9,-119.0260167,33.471,2019-09-13,7
A69-1602-9718,SB-9.5,-119.02422,33.4777,2019-08-21,7
A69-1602-9719,SB-1,-119.025,33.488,2019-07-06,7
A69-1602-9719,SB-1,-119.025,33.488,2019-07-16,7
A69-1602-9719,SB-1,-119.025,33.488,2019-07-17,7
A69-1602-9719,SB-9,-119.0260167,33.471,2019-09-28,7
A69-1602-9719,SB-9.5,-119.02422,33.4777,2019-08-26,7
A69-1602-9719,SB-9.5,-119.02422,33.4777,2019-09-28,7
A69-1602-9720,Mound Inshore,-119.0193,33.4879,2019-08-08,7
A69-1602-9720,Mound Inshore,-119.0193,33.4879,2019-08-13,7
A69-1602-9720,Mound Inshore,-119.0193,33.4879,2019-09-13,7
A69-1602-9720,Mound Inshore,-119.0193,33.4879,2019-09-18,7
A69-1602-9720,Mound Inshore,-119.0193,33.4879,2019-09-21,7
A69-1602-9720,Mound Offshore,-119.0168,33.4876,2019-07-20,7
A69-1602-9720,Mound Offshore,-119.0168,33.4876,2019-08-02,7
A69-1602-9720,Mound Offshore,-119.0168,33.4876,2019-08-30,7
A69-1602-9720,SB-1,-119.025,33.488,2019-08-27,7
A69-1602-9720,SB-6,-119.0457167,33.468,2019-07-03,7
A69-1602-9720,SB-6,-119.0457167,33.468,2019-07-07,7
A69-1602-9720,SB-6,-119.0457167,33.468,2019-08-09,7
A69-1602-9720,SB-6,-119.0457167,33.468,2019-08-11,7
A69-1602-9720,SB-6,-119.0457167,33.468,2019-08-17,7
A69-1602-9720,SB-9,-119.0260167,33.471,2019-09-11,7
A69-1602-9720,SB-9.5,-119.02422,33.4777,2019-08-31,7
A69-1602-9720,SB-9.5,-119.02422,33.4777,2019-09-07,7
A69-1602-9721,Mound Inshore,-119.0193,33.4879,2019-07-10,7
A69-1602-9721,Mound Inshore,-119.0193,33.4879,2019-09-18,7
A69-1602-9721,Mound Inshore,-119.0193,33.4879,2019-09-26,7
A69-1602-9721,SB-1,-119.025,33.488,2019-07-22,7
A69-1602-9721,SB-1,-119.025,33.488,2019-08-14,7
A69-1602-9721,SB-1,-119.025,33.488,2019-09-11,7
A69-1602-9721,SB-10,-119.0228,33.484,2019-08-17,7
A69-1602-9721,SB-6,-119.0457167,33.468,2019-07-15,7
A69-1602-9721,SB-6,-119.0457167,33.468,2019-07-27,7
A69-1602-9721,SB-6,-119.0457167,33.468,2019-08-02,7
A69-1602-9721,SB-6,-119.0457167,33.468,2019-09-11,7
A69-1602-9721,SB-6,-119.0457167,33.468,2019-10-02,7
A69-1602-9721,SB-9.5,-119.02422,33.4777,2019-08-22,7
A69-1602-9722,SB-7,-119.0418333,33.464,2018-09-30,7
A69-1602-9723,Mound Inshore,-119.0193,33.4879,2019-09-24,7
A69-1602-9723,Mound Offshore,-119.0168,33.4876,2019-07-25,7
A69-1602-9723,Mound Offshore,-119.0168,33.4876,2019-10-02,7
A69-1602-9723,SB-1,-119.025,33.488,2019-07-16,7
A69-1602-9723,SB-1,-119.025,33.488,2019-08-04,7
A69-1602-9723,SB-10,-119.0228,33.484,2019-07-04,7
A69-1602-9723,SB-10,-119.0228,33.484,2019-08-06,7
A69-1602-9723,SB-10,-119.0228,33.484,2019-09-20,7
A69-1602-9723,SB-3,-119.04055,33.487,2019-07-29,7
A69-1602-9723,SB-4,-119.04978,33.48554,2019-07-13,7
A69-1602-9723,SB-4,-119.04978,33.48554,2019-08-02,7
